VVF Caja x 100 ,S/ 98 ,/ 68 ,/ 60 ,S/ 59 ,S/ 57 ,S/ 73 ,S/ 83
PVP Caja x 100 ,S/ 125 ,S/ 100 ,/ 112 ,S/ 90 ,S/ 116 ,S/ 113 ,S/ 130
Margen Unit caja ,S/ 10 ,S/ 20 ,S/ 41 ,S/ 20 ,S/ 49 ,S/ 27 ,S/ 32
