pdf_filename,profile,heuristic_score,profile_group,quality_tier,resource_class,status,runtime_seconds,pipeline,pdf_backend,ocr_engine,psm,do_cell_matching,table_count,tables_with_rows,total_rows,total_columns_sum,max_columns,max_rows,empty_cell_ratio,single_column_table_count,very_small_table_count,inspection_path,run_dir
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_cuda_accurate_doclingparse,336.7225,gpu_performance,heavy,high,success,19.197,standard,docling_parse,,,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_accurate_doclingparse/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_accurate_doclingparse
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_doclingparse_cellmatch_true,336.7223,native_text,strong,high,success,19.25,standard,docling_parse,,,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_true/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_true
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr,336.7186,native_text,strong,high,success,19.975,standard,,,,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_doclingparse_scale3,336.6858,native_text,heavy,extreme,success,26.545,standard,docling_parse,,,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_scale3/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_scale3
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_cuda_easyocr_force_ocr,336.6674,gpu_performance,heavy,high,success,30.213,standard,,easyocr,,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_easyocr_force_ocr/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_easyocr_force_ocr
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_easyocr_ocr_not_forced,336.6664,ocr,heavy,high,success,30.412,standard,,easyocr,,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_ocr_not_forced/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_ocr_not_forced
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_cuda_accurate,336.6622,gpu_performance,heavy,high,success,31.26,standard,,,,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_accurate/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_accurate
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm3,336.6619,ocr,heavy,high,success,31.323,standard,,tesseract,3.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm3/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm3
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm4,336.661,ocr,heavy,high,success,31.508,standard,,tesseract,4.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm4/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm4
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm4_not_forced,336.66,ocr,strong,high,success,31.701,standard,,tesseract,4.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm4_not_forced/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm4_not_forced
