pdf_filename,profile,heuristic_score,profile_group,quality_tier,resource_class,status,runtime_seconds,pipeline,pdf_backend,ocr_engine,psm,do_cell_matching,table_count,tables_with_rows,total_rows,total_columns_sum,max_columns,max_rows,empty_cell_ratio,single_column_table_count,very_small_table_count,inspection_path,run_dir
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_pypdfium2_cellmatch_false,349.8969,native_text,strong,high,success,162.423,standard,pypdfium2,,,False,10,10,108,60,8,47,0.0426,1,0,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_false/inspection.md,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_doclingparse_cellmatch_false,348.9588,native_text,strong,high,success,144.234,standard,docling_parse,,,False,10,10,108,60,8,47,0.072,1,0,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_false/inspection.md,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr,336.1179,native_text,strong,high,success,140.129,standard,,,,True,10,10,74,60,8,22,0.0509,1,0,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr/inspection.md,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_doclingparse_cellmatch_true,336.0002,native_text,strong,high,success,163.664,standard,docling_parse,,,True,10,10,74,60,8,22,0.0509,1,0,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_true/inspection.md,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_true
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_pypdfium2_cellmatch_true,335.7922,native_text,strong,high,success,156.764,standard,pypdfium2,,,True,10,10,73,60,8,22,0.0464,1,0,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_true/inspection.md,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_true
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_threaded_doclingparse_cellmatch_false,99.7093,native_text,strong,high,success,58.131,standard,threaded_docling_parse,,,False,0,0,0,0,0,0,0.0,0,0,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_false/inspection.md,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_threaded_doclingparse_cellmatch_true,99.6991,native_text,strong,high,success,60.174,standard,threaded_docling_parse,,,True,0,0,0,0,0,0,0.0,0,0,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_true/inspection.md,/home/artrivas/ConversionExperiments/outputs/docling_ablation/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_true
