0,1,2,3,4,5,6,7
PVP SOBRE x 2 ,S/ 2.50 ,S/ 2.00 ,S/ 2.24 ,S/ 1.80 ,S/ 2.24 ,S/ 2.25 ,S/ 2.60
% Margen ,7.6% ,20.0% ,36.8% ,22.2% ,40.0% ,24.0% ,24.4%
